name,image,ingredients,calories,fat,carbs,protein
Emeril's Sloppy Joes,https://www.edamam.com/web-img/83a/83adbd1150758715d3ff886f1b89f2dc.jpg,Beef|Ground beef|Sugar|Chicken as food|Oil|Black pepper|Stock (food)|Worcestershire sauce|Onion|Celery|Salt|Tomato|Garlic|Olive oil|Olive|Tomato sauce|Hamburger|Broth|Bell pepper,637.889389919975,29.78797450923224,44.07854651448518,48.23148278392946
Italian Sloppy Joes,https://www.edamam.com/web-img/6de/6de46f98ec25729e6bb8ccb2a1a52c6c.jpg,Wine|Parsley|Oil|Tomato|Parmigiano-Reggiano|Cheese|Oregano|Salt|Beef|Ground beef|Olive oil|Thyme|Tomato paste|Bay leaf|Spaghetti|Garlic|Bread|Garlic bread|Bell pepper|Black pepper|Capsicum|Crushed red pepper|Kosher salt|Mozzarella|Onion|Broth|Sugar|Marinara sauce|Olive|Al dente|Clove,10917.833488611559,538.3350319128399,903.7625303899026,552.316149444009
Sloppy Joes,https://www.edamam.com/web-img/ffa/ffa499e2feefafa8f8ce0859e46f7b2e.jpg,Biscuit|Ground beef|Beef|Tomato paste|Ginger|Broth|Salt|Worcestershire sauce|Clove|Garlic|Tomato|Onion|Sweet potato|Potato|Ketchup|Mustard (condiment)|Chili pepper|Paprika|Chili powder,611.9725803,28.396323625000004,57.171553125,32.120571000000005
The Ultimate Sloppy Joes,https://www.edamam.com/web-img/169/169ff8815de1a8b4ab1426a3c5d1b251.jpeg,Bread|Pickled cucumber|Butter|Vinegar|Wine|Olive oil|Olive|Black pepper|Clove|Spice|Kosher salt|Ketchup|Sugar|Horseradish|Oil|Cucumber|Garlic|Mustard (condiment)|Cayenne pepper|Tomato paste|Tomato|Salt|Onion|Dill|Turmeric|Water|Brown sugar,1358.9231116560043,39.56963832533897,203.24220918697105,55.11482247479668
Easy as Tortilla Pie,https://www.edamam.com/web-img/bbb/bbbe2dd5a241bcbf1d7a6d3d6af42e27.jpg,Coriander|Maize|Black turtle bean|Cumin|Corn kernel|Seed|Salsa (sauce)|Scallion|Bean|Onion|Wheat tortilla|Flour|Tortilla|Cheese,525.76625,21.5793675,59.514635000000006,25.4979525
Easy Apple Pie Burritos,https://www.edamam.com/web-img/cb7/cb7f5745353131f3dd55c0d76bb39f30.jpg,Brown sugar|Spelt|Flour|Salvia hispanica|Almond milk|Almond|Grain|Whole grain|Lemon|Juice|Granny Smith|Sugar|Salt|Sea salt|Butter|Apple|Cinnamon|Milk|Seed|Flax,233.28106249985447,8.634784375,36.57031281246243,4.8459793749999545
"Grilled Sweet Potatoes with Soy Sauce, Maple, and Bacon",https://www.edamam.com/web-img/5d8/5d8294512e409c584e27cb200fcf8ff0.jpg,Vinegar|Sherry|Sweet potato|Maple syrup|Syrup|Butter|Kosher salt|Soy sauce|Salt|Potato|Scallion|Bacon,741.9844094562501,34.805620345437504,97.478810846875,12.256633603312503
Eat Pizza in the Morning Like a Grownup,https://www.edamam.com/web-img/5e1/5e12d596458cc33e465fc8d8dc4d08ba.jpg,Muffin|English muffin|Black pepper|Pita|Cheddar cheese|Olive|Pizza|Flour|Salt|Kosher salt|Olive oil|Oil|Naan|Potato|Dough|Jalapeño|Egg as food|Hot sauce,342.3071266306875,21.95873740875417,18.919965238410004,17.98994067110792
Burrito Pie,https://www.edamam.com/web-img/c49/c49694891b84c7bc375d5645df7056bd.jpg,Tortilla|Taco|Ground beef|Beef|Chili pepper|Cheese|Olive|Refried beans|Flour|Wheat tortilla|Garlic|Tomato|Onion|Bean|Salsa (sauce),386.1542767328125,20.837026201269534,29.979201073027344,19.620396921367192
Sweet-and-Sour Little Onions (Cipolline in Agrodolce),https://www.edamam.com/web-img/a49/a49bfa9d692379a1366e1e326eac2106.jpg,Salt|Black pepper|Sugar|Vinegar|Balsamic vinegar|Butter|Meat|Onion,176.54000276536667,8.814392246262,21.346666985781667,3.8906825797430007
Sweet And Sour Pork Iii,https://www.edamam.com/web-img/1d0/1d0b52fa1f80bb3a800740be3f08fe22.jpg,Oil|Vegetable oil|Vegetable|Water|Corn starch|Sugar|Onion|Celery|Apple|Soy sauce|Black pepper|Bell pepper|Salt|Egg white|Ketchup|Vinegar|Cider|Apple cider|Scallion|Pork|Pineapple,1028.4718811571527,72.97323765098982,73.27965111793827,22.051905063249826
Sweet and Sour Pork III,https://www.edamam.com/web-img/7d7/7d792feaea36f0732151038c156d3ebe.jpg,Corn starch|Water|Oil|Sugar|Ketchup|Bell pepper|Black pepper|Soy sauce|Salt|Vegetable oil|Pineapple|Onion|Vegetable|Egg white|Pork|Celery|Vinegar|Apple|Apple cider|Cider|Scallion,1075.5466943386493,74.78102617562489,81.3126598598499,22.051905063249826
Patti's Mussels A La Mariniere,https://www.edamam.com/web-img/956/9567021a981a8db2cbc41f3464748afc.jpg,Parsley|Olive|Wine|Oil|Tomato|Plum|Olive oil|Garlic|Clove|Scallion|Onion|Butter|Margarine|Mussel,227.72796296296303,11.254957407407408,8.874566666666668,15.885068518518516
Patti's Mussels a la Mariniere Recipe,https://www.edamam.com/web-img/42a/42a923c0dd2332312cd2dcc690b01272.jpg,Parsley|Clove|Onion|Garlic|Olive oil|Wine|White wine|Black pepper|Margarine|Mussel|Oil|Scallion|Tomato|Plum|Olive|Butter|Salt,229.4128701851852,11.276841062962964,9.303848805555555,15.954814279629625
Patti's Mussels a la Mariniere,https://www.edamam.com/web-img/d44/d4440bfe65492230e64c8f75bddb7586.jpg,Plum|Clove|Garlic|Olive|Olive oil|Oil|White wine|Wine|Salt|Mussel|Black pepper|Parsley|Tomato|Margarine|Butter|Scallion|Onion,229.4128701851852,11.276841062962964,9.303848805555555,15.954814279629625
